Attrition,BusinessTravel,DailyRate,DistanceFromHome,EducationField,EmployeeID,EnvironmentSatisfaction,JobInvolvement,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,OverTime,StockOptionLevel,TrainingTimesLastYear,YearsAtCompany,TenureGroupID,SalaryBandID
Yes,Travel_Rarely,1102,1,Life Sciences,1,Medium,3,Sales Executive,Very High,Single,5993,Yes,0,0,6,3,3
No,Travel_Frequently,279,8,Life Sciences,2,High,2,Research Scientist,Medium,Married,5130,No,1,3,10,3,3
Yes,Travel_Rarely,1373,2,Other,4,Very High,2,Laboratory Technician,High,Single,2090,Yes,0,3,0,1,1
No,Travel_Frequently,1392,3,Life Sciences,5,Very High,3,Research Scientist,High,Married,2909,Yes,0,3,8,3,1
No,Travel_Rarely,591,2,Medical,7,Low,3,Laboratory Technician,Medium,Married,3468,No,1,3,2,1,2
No,Travel_Frequently,1005,2,Life Sciences,8,Very High,3,Laboratory Technician,Very High,Single,3068,No,0,2,7,3,2
No,Travel_Rarely,1324,3,Medical,10,High,4,Laboratory Technician,Low,Married,2670,Yes,3,3,1,1,1
No,Travel_Rarely,1358,24,Life Sciences,11,Very High,3,Laboratory Technician,High,Divorced,2693,No,1,2,1,1,1
No,Travel_Frequently,216,23,Life Sciences,12,Very High,2,Manufacturing Director,High,Single,9526,No,0,2,9,3,4
No,Travel_Rarely,1299,27,Medical,13,High,3,Healthcare Representative,High,Married,5237,No,2,3,7,3,3
No,Travel_Rarely,809,16,Medical,14,Low,4,Laboratory Technician,Medium,Married,2426,No,1,5,5,2,1
No,Travel_Rarely,153,15,Life Sciences,15,Very High,2,Laboratory Technician,High,Single,4193,Yes,0,3,9,3,2
No,Travel_Rarely,670,26,Life Sciences,16,Low,3,Research Scientist,High,Divorced,2911,No,1,1,5,2,1
No,Travel_Rarely,1346,19,Medical,18,Medium,3,Laboratory Technician,Very High,Divorced,2661,No,1,2,2,1,1
Yes,Travel_Rarely,103,24,Life Sciences,19,High,2,Laboratory Technician,High,Single,2028,Yes,0,4,4,2,1
No,Travel_Rarely,1389,21,Life Sciences,20,Medium,4,Manufacturing Director,Low,Divorced,9980,No,1,1,10,3,4
No,Travel_Rarely,334,5,Life Sciences,21,Low,4,Research Scientist,Medium,Divorced,3298,Yes,2,5,6,3,2
No,Non-Travel,1123,16,Medical,22,Very High,4,Laboratory Technician,Very High,Divorced,2935,Yes,2,2,1,1,2
No,Travel_Rarely,1219,2,Life Sciences,23,Low,2,Manager,Very High,Married,15427,No,0,3,25,4,4
No,Travel_Rarely,371,2,Life Sciences,24,Very High,3,Research Scientist,Very High,Single,3944,Yes,0,3,3,2,2
No,Non-Travel,673,11,Other,26,Low,4,Manufacturing Director,High,Divorced,4011,No,1,5,4,2,2
Yes,Travel_Rarely,1218,9,Life Sciences,27,High,2,Sales Representative,Low,Single,3407,No,0,4,5,2,2
No,Travel_Rarely,419,7,Life Sciences,28,Low,3,Research Director,Medium,Single,11994,No,0,4,12,4,4
No,Travel_Rarely,391,15,Life Sciences,30,High,3,Research Scientist,Very High,Single,1232,No,0,6,0,1,1
Yes,Travel_Rarely,699,6,Medical,31,Medium,3,Research Scientist,Low,Single,2960,No,0,2,4,2,2
No,Travel_Rarely,1282,5,Other,32,High,3,Manager,High,Divorced,19094,No,1,3,14,4,4
Yes,Travel_Frequently,1125,16,Life Sciences,33,Medium,1,Research Scientist,Low,Single,3919,Yes,0,5,10,3,2
No,Travel_Rarely,691,8,Marketing,35,High,3,Sales Executive,Medium,Married,6825,No,1,2,9,3,3
No,Travel_Rarely,477,7,Medical,36,Low,2,Healthcare Representative,Very High,Married,10248,No,1,4,22,4,4
No,Travel_Rarely,705,2,Marketing,38,Medium,3,Manager,Low,Single,18947,No,0,2,2,1,4
No,Travel_Rarely,924,2,Medical,39,High,3,Laboratory Technician,Very High,Single,2496,No,0,3,1,1,1
No,Travel_Rarely,1459,10,Other,40,Very High,3,Healthcare Representative,Very High,Married,6465,Yes,0,5,4,2,3
No,Travel_Rarely,125,9,Medical,41,Very High,2,Laboratory Technician,High,Single,2206,No,0,5,10,3,1
Yes,Travel_Rarely,895,5,Technical Degree,42,Very High,3,Sales Representative,Very High,Married,2086,No,1,6,1,1,1
Yes,Travel_Rarely,813,1,Medical,45,Medium,3,Research Scientist,Very High,Married,2293,Yes,1,2,2,1,1
No,Travel_Rarely,1273,2,Medical,46,Very High,4,Research Scientist,High,Divorced,2645,No,2,3,5,2,1
Yes,Travel_Rarely,869,3,Marketing,47,Low,2,Sales Representative,High,Married,2683,Yes,0,2,3,2,1
No,Travel_Rarely,890,2,Marketing,49,Very High,3,Sales Representative,Very High,Married,2014,No,0,3,2,1,1
No,Travel_Rarely,852,5,Life Sciences,51,Medium,2,Research Scientist,Low,Married,3419,Yes,1,3,1,1,2
No,Travel_Frequently,1141,1,Life Sciences,52,High,4,Sales Executive,Low,Married,5376,No,2,3,5,2,3
No,Travel_Rarely,464,4,Other,53,High,3,Laboratory Technician,Very High,Divorced,1951,No,1,3,1,1,1
No,Travel_Rarely,1240,2,Life Sciences,54,Very High,3,Laboratory Technician,Low,Divorced,2341,No,1,6,1,1,1
Yes,Travel_Rarely,1357,25,Life Sciences,55,Low,1,Laboratory Technician,High,Single,2293,No,0,2,1,1,1
No,Travel_Frequently,994,8,Life Sciences,56,Very High,3,Sales Executive,High,Single,8726,No,0,0,9,3,4
No,Travel_Frequently,721,1,Medical,57,High,3,Laboratory Technician,Very High,Single,4011,No,0,2,12,4,2
Yes,Travel_Rarely,1360,12,Technical Degree,58,Medium,3,Research Director,High,Married,19545,No,0,0,22,4,4
No,Non-Travel,1065,23,Marketing,60,Medium,3,Sales Executive,High,Single,4568,No,0,2,9,3,2
No,Travel_Rarely,408,19,Life Sciences,61,Medium,3,Research Scientist,Medium,Married,3022,No,0,1,1,1,2
No,Travel_Frequently,1211,5,Marketing,62,Low,3,Sales Executive,Very High,Single,5772,Yes,0,4,9,3,3
No,Travel_Rarely,1229,8,Life Sciences,63,Very High,4,Laboratory Technician,Very High,Married,2269,No,0,2,1,1,1
Yes,Travel_Rarely,626,1,Life Sciences,64,Low,2,Laboratory Technician,High,Single,5381,Yes,0,2,1,1,3
Yes,Travel_Rarely,1434,5,Technical Degree,65,High,3,Laboratory Technician,High,Single,3441,Yes,0,3,2,1,2
No,Travel_Rarely,1488,1,Marketing,68,Medium,3,Sales Executive,Low,Divorced,5454,Yes,1,2,4,2,3
No,Non-Travel,1097,11,Medical,70,High,2,Healthcare Representative,Low,Married,9884,Yes,1,3,4,2,4
No,Travel_Rarely,1443,23,Marketing,72,High,2,Sales Executive,Very High,Married,4157,Yes,1,2,2,1,2
No,Travel_Frequently,515,1,Life Sciences,73,Low,3,Research Director,Very High,Single,13458,Yes,0,1,15,4,4
No,Travel_Frequently,853,18,Life Sciences,74,Medium,3,Sales Executive,Low,Married,9069,No,1,3,9,3,4
No,Travel_Rarely,1142,23,Medical,75,High,3,Laboratory Technician,Low,Married,4014,Yes,1,3,2,1,2
No,Travel_Rarely,655,7,Life Sciences,76,Very High,3,Laboratory Technician,Very High,Divorced,5915,No,1,3,7,3,3
No,Travel_Rarely,1115,1,Life Sciences,77,Low,2,Manufacturing Director,High,Divorced,5993,No,1,2,7,3,3
No,Travel_Rarely,427,1,Medical,78,Low,3,Manufacturing Director,Very High,Married,6162,Yes,1,3,9,3,3
No,Travel_Frequently,653,29,Life Sciences,79,Very High,3,Laboratory Technician,Very High,Single,2406,No,0,2,10,3,1
No,Travel_Rarely,989,7,Medical,80,Medium,2,Research Director,High,Divorced,18740,Yes,1,2,27,4,4
No,Travel_Rarely,1435,25,Life Sciences,81,Low,3,Sales Executive,Low,Single,7637,No,0,3,21,4,3
No,Travel_Rarely,1223,8,Technical Degree,83,High,3,Healthcare Representative,High,Divorced,10096,No,3,2,17,4,4
No,Travel_Rarely,836,8,Medical,84,Very High,3,Manager,High,Divorced,14756,Yes,3,2,5,2,4
No,Travel_Frequently,1195,11,Life Sciences,85,Medium,2,Manufacturing Director,Medium,Single,6499,No,0,3,6,3,3
No,Travel_Rarely,1339,7,Life Sciences,86,Medium,3,Research Scientist,Low,Divorced,9724,No,1,2,1,1,4
No,Travel_Frequently,664,1,Medical,88,Medium,3,Research Scientist,Low,Married,2194,No,1,2,3,2,1
Yes,Travel_Rarely,318,9,Medical,90,Very High,2,Research Scientist,High,Married,3388,Yes,1,0,1,1,2
No,Travel_Frequently,1225,1,Life Sciences,91,Low,2,Sales Executive,High,Single,5473,No,0,2,4,2,3
No,Travel_Rarely,1328,2,Life Sciences,94,High,3,Research Scientist,Medium,Married,2703,No,1,3,5,2,1
No,Travel_Rarely,1082,1,Medical,95,High,3,Research Scientist,Medium,Single,2501,No,0,4,1,1,1
No,Travel_Rarely,548,1,Life Sciences,96,Medium,3,Research Scientist,Medium,Married,6220,No,2,3,10,3,3
No,Travel_Rarely,132,6,Life Sciences,97,Medium,4,Laboratory Technician,Very High,Married,3038,No,0,3,1,1,2
No,Travel_Rarely,746,8,Life Sciences,98,High,3,Manufacturing Director,Very High,Single,4424,No,0,2,11,4,2
No,Travel_Rarely,776,1,Marketing,100,High,2,Sales Executive,Low,Single,4312,No,0,2,15,4,2
No,Travel_Rarely,193,6,Other,101,Very High,3,Research Director,Low,Married,13245,Yes,0,3,0,1,4
No,Travel_Rarely,397,7,Medical,102,Low,3,Research Director,High,Single,13664,No,0,3,5,2,4
No,Travel_Rarely,945,5,Medical,103,Medium,3,Human Resources,Medium,Divorced,5021,Yes,1,2,4,2,3
No,Travel_Rarely,852,1,Life Sciences,104,Very High,2,Laboratory Technician,Very High,Married,5126,Yes,2,1,10,3,3
No,Travel_Rarely,1214,1,Medical,105,Medium,2,Research Scientist,High,Single,2859,No,0,3,6,3,1
No,Travel_Rarely,111,1,Life Sciences,106,Low,3,Sales Executive,Very High,Married,10239,No,1,4,1,1,4
No,Non-Travel,573,6,Medical,107,Medium,1,Research Scientist,Very High,Divorced,5329,Yes,3,3,13,4,3
No,Travel_Rarely,1153,1,Medical,110,Low,3,Manufacturing Director,Medium,Married,4325,No,0,2,5,2,2
No,Travel_Rarely,1400,7,Life Sciences,112,Very High,1,Manufacturing Director,Very High,Single,7260,No,0,3,6,3,3
No,Travel_Rarely,541,2,Technical Degree,113,High,3,Sales Representative,Low,Divorced,2322,No,1,3,0,1,1
No,Travel_Rarely,432,9,Life Sciences,116,Very High,3,Laboratory Technician,Very High,Married,2075,No,2,4,4,2,1
No,Travel_Rarely,288,2,Life Sciences,117,High,2,Healthcare Representative,Very High,Married,4152,No,3,3,11,4,2
Yes,Travel_Rarely,669,9,Medical,118,High,2,Sales Executive,Very High,Single,9619,No,0,3,9,3,4
No,Travel_Frequently,530,1,Life Sciences,119,High,2,Healthcare Representative,Medium,Married,13503,No,1,3,22,4,4
No,Travel_Rarely,632,21,Marketing,120,High,3,Sales Executive,Very High,Single,5441,Yes,0,2,10,3,3
No,Travel_Rarely,1334,4,Medical,121,High,2,Sales Executive,Medium,Divorced,5209,Yes,3,4,11,4,3
No,Travel_Frequently,638,1,Medical,124,High,2,Healthcare Representative,Low,Married,10673,Yes,1,5,10,3,4
No,Travel_Rarely,1093,6,Medical,125,Medium,3,Sales Executive,High,Single,5010,No,0,0,11,4,3
No,Travel_Rarely,1217,2,Technical Degree,126,Low,3,Research Director,High,Married,13549,No,1,5,4,2,4
No,Travel_Rarely,1353,3,Other,128,Low,3,Sales Executive,High,Married,4999,No,1,2,3,2,3
No,Non-Travel,120,4,Medical,129,Medium,3,Sales Executive,High,Married,4221,No,0,3,5,2,2
No,Travel_Rarely,682,10,Medical,131,Very High,3,Sales Executive,High,Single,13872,No,0,1,37,4,4
No,Non-Travel,489,23,Medical,132,Medium,3,Laboratory Technician,Medium,Married,2042,No,1,3,3,2,1
Yes,Travel_Rarely,807,6,Human Resources,133,High,3,Human Resources,Low,Divorced,2073,Yes,0,3,3,2,1
No,Travel_Rarely,827,1,Life Sciences,134,Very High,3,Research Scientist,Low,Single,2956,No,0,2,1,1,2
Yes,Travel_Frequently,871,6,Life Sciences,137,Very High,2,Laboratory Technician,Very High,Single,2926,Yes,0,5,1,1,2
No,Travel_Rarely,665,6,Other,138,Low,3,Research Scientist,High,Single,4809,No,0,3,16,4,2
No,Non-Travel,1040,2,Life Sciences,139,High,2,Healthcare Representative,Very High,Divorced,5163,No,1,2,1,1,3
No,Non-Travel,1420,2,Human Resources,140,High,2,Manager,Very High,Married,18844,No,1,3,3,2,4
